"airpol","country","year","emission"
"NH3","DE","2013",670849
"NH3","FR","2013",718133
"NH3","IT","2013",402230
"NH3","PL","2013",263402
"NH3","GB","2013",271309
"NMVOC","DE","2013",1138241
"NMVOC","FR","2013",758380
"NMVOC","IT","2013",905539
"NMVOC","PL","2013",635776
"NMVOC","GB","2013",802997
"NOX","DE","2013",1269182
"NOX","FR","2013",989521
"NOX","IT","2013",820574
"NOX","PL","2013",798233
"NOX","GB","2013",1019674
"PM10","DE","2013",228339
"PM10","FR","2013",271758
"PM10","IT","2013",193718
"PM10","PL","2013",246201
"PM10","GB","2013",123478
"PM2_5","DE","2013",112731
"PM2_5","FR","2013",181346
"PM2_5","IT","2013",168438
"PM2_5","PL","2013",144510
"PM2_5","GB","2013",81516
"SOX","DE","2013",416214
"SOX","FR","2013",218785
"SOX","IT","2013",145054
"SOX","PL","2013",846845
"SOX","GB","2013",393158
"NH3","DE","2012",654933
"NH3","FR","2012",721710
"NH3","IT","2012",414675
"NH3","PL","2012",262525
"NH3","GB","2012",274883
"NMVOC","DE","2012",1136057
"NMVOC","FR","2012",772491
"NMVOC","IT","2012",862229
"NMVOC","PL","2012",630290
"NMVOC","GB","2012",823580
"NOX","DE","2012",1270161
"NOX","FR","2012",1007586
"NOX","IT","2012",863347
"NOX","PL","2012",819211
"NOX","GB","2012",1072870
"PM10","DE","2012",227538
"PM10","FR","2012",271038
"PM10","IT","2012",147121
"PM10","PL","2012",245257
"PM10","GB","2012",125479
"PM2_5","DE","2012",113813
"PM2_5","FR","2012",181137
"PM2_5","IT","2012",121080
"PM2_5","PL","2012",144771
"PM2_5","GB","2012",82172
"SOX","DE","2012",416685
"SOX","FR","2012",235467
"SOX","IT","2012",174865
"SOX","PL","2012",858626
"SOX","GB","2012",439682
"NH3","DE","2011",674824
"NH3","FR","2011",721279
"NH3","IT","2011",401571
"NH3","PL","2011",270536
"NH3","GB","2011",279171
"NMVOC","DE","2011",1168998
"NMVOC","FR","2011",807139
"NMVOC","IT","2011",919328
"NMVOC","PL","2011",638357
"NMVOC","GB","2011",835203
"NOX","DE","2011",1310814
"NOX","FR","2011",1035980
"NOX","IT","2011",949784
"NOX","PL","2011",842596
"NOX","GB","2011",1051300
"PM10","DE","2011",234110
"PM10","FR","2011",267945
"PM10","IT","2011",150177
"PM10","PL","2011",258371
"PM10","GB","2011",123383
"PM2_5","DE","2011",119869
"PM2_5","FR","2011",179442
"PM2_5","IT","2011",123181
"PM2_5","PL","2011",151408
"PM2_5","GB","2011",81219
"SOX","DE","2011",430743
"SOX","FR","2011",249006
"SOX","IT","2011",194193
"SOX","PL","2011",885319
"SOX","GB","2011",390975
"NH3","DE","2010",642627
"NH3","FR","2010",728502
"NH3","IT","2010",387757
"NH3","PL","2010",271471
"NH3","GB","2010",278980
"NMVOC","DE","2010",1238753
"NMVOC","FR","2010",874295
"NMVOC","IT","2010",942238
"NMVOC","PL","2010",653306
"NMVOC","GB","2010",855205
"NOX","DE","2010",1333739
"NOX","FR","2010",1096361
"NOX","IT","2010",968796
"NOX","PL","2010",860612
"NOX","GB","2010",1123000
"PM10","DE","2010",233217
"PM10","FR","2010",294161
"PM10","IT","2010",153051
"PM10","PL","2010",275813
"PM10","GB","2010",129463
"PM2_5","DE","2010",124597
"PM2_5","FR","2010",205888
"PM2_5","IT","2010",126024
"PM2_5","PL","2010",159653
"PM2_5","GB","2010",86884
"SOX","DE","2010",434361
"SOX","FR","2010",285310
"SOX","IT","2010",214869
"SOX","PL","2010",937258
"SOX","GB","2010",427561
"NH3","DE","2009",680125
"NH3","FR","2009",721732
"NH3","IT","2009",401026
"NH3","PL","2009",274073
"NH3","GB","2009",277656
"NMVOC","DE","2009",1130452
"NMVOC","FR","2009",861105
"NMVOC","IT","2009",1003208
"NMVOC","PL","2009",617023
"NMVOC","GB","2009",883436
"NOX","DE","2009",1310058
"NOX","FR","2009",1115530
"NOX","IT","2009",982328
"NOX","PL","2009",808931
"NOX","GB","2009",1148512
"PM10","DE","2009",216211
"PM10","FR","2009",287461
"PM10","IT","2009",154279
"PM10","PL","2009",260505
"PM10","GB","2009",126685
"PM2_5","DE","2009",115764
"PM2_5","FR","2009",199229
"PM2_5","IT","2009",127435
"PM2_5","PL","2009",149467
"PM2_5","GB","2009",83855
"SOX","DE","2009",412299
"SOX","FR","2009",305426
"SOX","IT","2009",233478
"SOX","PL","2009",868189
"SOX","GB","2009",398853
"NH3","DE","2008",668925
"NH3","FR","2008",731203
"NH3","IT","2008",416528
"NH3","PL","2008",286383
"NH3","GB","2008",278272
"NMVOC","DE","2008",1216202
"NMVOC","FR","2008",943219
"NMVOC","IT","2008",1069069
"NMVOC","PL","2008",637120
"NMVOC","GB","2008",974680
"NOX","DE","2008",1410817
"NOX","FR","2008",1197564
"NOX","IT","2008",1055909
"NOX","PL","2008",829272
"NOX","GB","2008",1324863
"PM10","DE","2008",225594
"PM10","FR","2008",300348
"PM10","IT","2008",162074
"PM10","PL","2008",273041
"PM10","GB","2008",137580
"PM2_5","DE","2008",120944
"PM2_5","FR","2008",207610
"PM2_5","IT","2008",132853
"PM2_5","PL","2008",155420
"PM2_5","GB","2008",90094
"SOX","DE","2008",461536
"SOX","FR","2008",356704
"SOX","IT","2008",285657
"SOX","PL","2008",1007287
"SOX","GB","2008",491558
"NH3","DE","2007",662991
"NH3","FR","2007",719182
"NH3","IT","2007",427081
"NH3","PL","2007",290880
"NH3","GB","2007",292164
"NMVOC","DE","2007",1265772
"NMVOC","FR","2007",1025684
"NMVOC","IT","2007",1127217
"NMVOC","PL","2007",613711
"NMVOC","GB","2007",1053988
"NOX","DE","2007",1483564
"NOX","FR","2007",1297215
"NOX","IT","2007",1128744
"NOX","PL","2007",860590
"NOX","GB","2007",1471244
"PM10","DE","2007",232515
"PM10","FR","2007",308484
"PM10","IT","2007",166010
"PM10","PL","2007",285574
"PM10","GB","2007",142758
"PM2_5","DE","2007",126301
"PM2_5","FR","2007",212712
"PM2_5","IT","2007",136091
"PM2_5","PL","2007",160950
"PM2_5","GB","2007",92556
"SOX","DE","2007",461307
"SOX","FR","2007",421609
"SOX","IT","2007",340772
"SOX","PL","2007",1229248
"SOX","GB","2007",589318
"NH3","DE","2006",668317
"NH3","FR","2006",709706
"NH3","IT","2006",418515
"NH3","PL","2006",286890
"NH3","GB","2006",300542
"NMVOC","DE","2006",1325806
"NMVOC","FR","2006",1133553
"NMVOC","IT","2006",1192684
"NMVOC","PL","2006",627889
"NMVOC","GB","2006",1090466
"NOX","DE","2006",1557080
"NOX","FR","2006",1359093
"NOX","IT","2006",1179225
"NOX","PL","2006",855765
"NOX","GB","2006",1541663
"PM10","DE","2006",236398
"PM10","FR","2006",325777
"PM10","IT","2006",166015
"PM10","PL","2006",296841
"PM10","GB","2006",146828
"PM2_5","DE","2006",129928
"PM2_5","FR","2006",227701
"PM2_5","IT","2006",135556
"PM2_5","PL","2006",165353
"PM2_5","GB","2006",94865
"SOX","DE","2006",477734
"SOX","FR","2006",434682
"SOX","IT","2006",383825
"SOX","PL","2006",1292374
"SOX","GB","2006",669518
"NH3","DE","2005",667857
"NH3","FR","2005",714215
"NH3","IT","2005",421139
"NH3","PL","2005",271663
"NH3","GB","2005",304443
"NMVOC","DE","2005",1340184
"NMVOC","FR","2005",1238956
"NMVOC","IT","2005",1242110
"NMVOC","PL","2005",574656
"NMVOC","GB","2005",1136127
"NOX","DE","2005",1573212
"NOX","FR","2005",1430064
"NOX","IT","2005",1244272
"NOX","PL","2005",850881
"NOX","GB","2005",1586452
"PM10","DE","2005",238271
"PM10","FR","2005",344676
"PM10","IT","2005",171147
"PM10","PL","2005",294860
"PM10","GB","2005",147254
"PM2_5","DE","2005",133371
"PM2_5","FR","2005",245454
"PM2_5","IT","2005",140074
"PM2_5","PL","2005",166674
"PM2_5","GB","2005",95986
"SOX","DE","2005",471797
"SOX","FR","2005",461124
"SOX","IT","2005",406550
"SOX","PL","2005",1217414
"SOX","GB","2005",709564
"NH3","DE","2004",679840
"NH3","FR","2004",715522
"NH3","IT","2004",434476
"NH3","PL","2004",265501
"NH3","GB","2004",309729
"NMVOC","DE","2004",1368998
"NMVOC","FR","2004",1333286
"NMVOC","IT","2004",1280252
"NMVOC","PL","2004",586076
"NMVOC","GB","2004",1211353
"NOX","DE","2004",1648462
"NOX","FR","2004",1472253
"NOX","IT","2004",1305366
"NOX","PL","2004",854641
"NOX","GB","2004",1607023
"PM10","DE","2004",248062
"PM10","FR","2004",369076
"PM10","IT","2004",183896
"PM10","PL","2004",284110
"PM10","GB","2004",150877
"PM2_5","DE","2004",139990
"PM2_5","FR","2004",265068
"PM2_5","IT","2004",151076
"PM2_5","PL","2004",162413
"PM2_5","GB","2004",98065
"SOX","DE","2004",496082
"SOX","FR","2004",482180
"SOX","IT","2004",485922
"SOX","PL","2004",1249069
"SOX","GB","2004",832810
"NH3","DE","2003",688247
"NH3","FR","2003",724840
"NH3","IT","2003",442235
"NH3","PL","2003",270932
"NH3","GB","2003",304154
"NMVOC","DE","2003",1360943
"NMVOC","FR","2003",1405591
"NMVOC","IT","2003",1348684
"NMVOC","PL","2003",562464
"NMVOC","GB","2003",1291847
"NOX","DE","2003",1715135
"NOX","FR","2003",1502867
"NOX","IT","2003",1347535
"NOX","PL","2003",828273
"NOX","GB","2003",1660865
"PM10","DE","2003",252607
"PM10","FR","2003",382694
"PM10","IT","2003",178970
"PM10","PL","2003",292950
"PM10","GB","2003",153562
"PM2_5","DE","2003",143818
"PM2_5","FR","2003",277614
"PM2_5","IT","2003",145928
"PM2_5","PL","2003",165005
"PM2_5","GB","2003",101233
"SOX","DE","2003",534304
"SOX","FR","2003",507093
"SOX","IT","2003",523666
"SOX","PL","2003",1286764
"SOX","GB","2003",989057
"NH3","DE","2002",688152
"NH3","FR","2002",731684
"NH3","IT","2002",446009
"NH3","PL","2002",277519
"NH3","GB","2002",313833
"NMVOC","DE","2002",1430230
"NMVOC","FR","2002",1483580
"NMVOC","IT","2002",1394016
"NMVOC","PL","2002",566667
"NMVOC","GB","2002",1401366
"NOX","DE","2002",1770095
"NOX","FR","2002",1537776
"NOX","IT","2002",1370620
"NOX","PL","2002",806167
"NOX","GB","2002",1678908
"PM10","DE","2002",259001
"PM10","FR","2002",378493
"PM10","IT","2002",182587
"PM10","PL","2002",298629
"PM10","GB","2002",155304
"PM2_5","DE","2002",147530
"PM2_5","FR","2002",276110
"PM2_5","IT","2002",148441
"PM2_5","PL","2002",165712
"PM2_5","GB","2002",102827
"SOX","DE","2002",561970
"SOX","FR","2002",517786
"SOX","IT","2002",621263
"SOX","PL","2002",1330580
"SOX","GB","2002",1011437
"NH3","DE","2001",703412
"NH3","FR","2001",747145
"NH3","IT","2001",458626
"NH3","PL","2001",280151
"NH3","GB","2001",320853
"NMVOC","DE","2001",1499512
"NMVOC","FR","2001",1611459
"NMVOC","IT","2001",1461629
"NMVOC","PL","2001",570776
"NMVOC","GB","2001",1485205
"NOX","DE","2001",1848035
"NOX","FR","2001",1567798
"NOX","IT","2001",1423160
"NOX","PL","2001",838887
"NOX","GB","2001",1758286
"PM10","DE","2001",267502
"PM10","FR","2001",405615
"PM10","IT","2001",195344
"PM10","PL","2001",283312
"PM10","GB","2001",177071
"PM2_5","DE","2001",153995
"PM2_5","FR","2001",299962
"PM2_5","IT","2001",161153
"PM2_5","PL","2001",159938
"PM2_5","GB","2001",117839
"SOX","DE","2001",624702
"SOX","FR","2001",556811
"SOX","IT","2001",701406
"SOX","PL","2001",1435956
"SOX","GB","2001",1132105
"NH3","DE","2000",695908
"NH3","FR","2000",747695
"NH3","IT","2000",453203
"NH3","PL","2000",283636
"NH3","GB","2000",322325
"NMVOC","DE","2000",1599537
"NMVOC","FR","2000",1681046
"NMVOC","IT","2000",1523544
"NMVOC","PL","2000",575315
"NMVOC","GB","2000",1566667
"NOX","DE","2000",1925447
"NOX","FR","2000",1609995
"NOX","IT","2000",1455824
"NOX","PL","2000",844090
"NOX","GB","2000",1797728
"PM10","DE","2000",276061
"PM10","FR","2000",418882
"PM10","IT","2000",196299
"PM10","PL","2000",276426
"PM10","GB","2000",179088
"PM2_5","DE","2000",158222
"PM2_5","FR","2000",310685
"PM2_5","IT","2000",163142
"PM2_5","PL","2000",156773
"PM2_5","GB","2000",120521
"SOX","DE","2000",644905
"SOX","FR","2000",628006
"SOX","IT","2000",753601
"SOX","PL","2000",1451499
"SOX","GB","2000",1217265
"NH3","DE","1999",693059
"NH3","FR","1999",734056
"NH3","IT","1999",457996
"NH3","PL","1999",299819
"NH3","GB","1999",333991
"NMVOC","DE","1999",1750069
"NMVOC","FR","1999",1776784
"NMVOC","IT","1999",1682053
"NMVOC","PL","1999",632294
"NMVOC","GB","1999",1700704
"NOX","DE","1999",1981136
"NOX","FR","1999",1653326
"NOX","IT","1999",1556401
"NOX","PL","1999",920508
"NOX","GB","1999",1866722
"PM10","DE","1999",290259
"PM10","FR","1999",449340
"PM10","IT","1999",208614
"PM10","PL","1999",307173
"PM10","GB","1999",191571
"PM2_5","DE","1999",167271
"PM2_5","FR","1999",338902
"PM2_5","IT","1999",172672
"PM2_5","PL","1999",169941
"PM2_5","GB","1999",134633
"SOX","DE","1999",793227
"SOX","FR","1999",708340
"SOX","IT","1999",901732
"SOX","PL","1999",1665778
"SOX","GB","1999",1242817
"NH3","DE","1998",686895
"NH3","FR","1998",733082
"NH3","IT","1998",452063
"NH3","PL","1998",310774
"NH3","GB","1998",332384
"NMVOC","DE","1998",1891837
"NMVOC","FR","1998",1863944
"NMVOC","IT","1998",1750585
"NMVOC","PL","1998",628002
"NMVOC","GB","1998",1878613
"NOX","DE","1998",2005669
"NOX","FR","1998",1708645
"NOX","IT","1998",1645710
"NOX","PL","1998",942953
"NOX","GB","1998",1983604
"PM10","DE","1998",291608
"PM10","FR","1998",472066
"PM10","IT","1998",209822
"PM10","PL","1998",315239
"PM10","GB","1998",201119
"PM2_5","DE","1998",170168
"PM2_5","FR","1998",360757
"PM2_5","IT","1998",172113
"PM2_5","PL","1998",175611
"PM2_5","GB","1998",138817
"SOX","DE","1998",970777
"SOX","FR","1998",834416
"SOX","IT","1998",1002530
"SOX","PL","1998",1830083
"SOX","GB","1998",1626136
"NH3","DE","1997",680159
"NH3","FR","1997",725110
"NH3","IT","1997",454300
"NH3","PL","1997",307606
"NH3","GB","1997",343152
"NMVOC","DE","1997",1933683
"NMVOC","FR","1997",1909319
"NMVOC","IT","1997",1859464
"NMVOC","PL","1997",670334
"NMVOC","GB","1997",2031849
"NOX","DE","1997",2029223
"NOX","FR","1997",1673863
"NOX","IT","1997",1770302
"NOX","PL","1997",1043433
"NOX","GB","1997",2041786
"PM10","DE","1997",305422
"PM10","FR","1997",480529
"PM10","IT","1997",215759
"PM10","PL","1997",351438
"PM10","GB","1997",214845
"PM2_5","DE","1997",180054
"PM2_5","FR","1997",367466
"PM2_5","IT","1997",177027
"PM2_5","PL","1997",191889
"PM2_5","GB","1997",151772
"SOX","DE","1997",1206286
"SOX","FR","1997",813268
"SOX","IT","1997",1140745
"SOX","PL","1997",2068125
"SOX","GB","1997",1651093
"NH3","DE","1996",684606
"NH3","FR","1996",723057
"NH3","IT","1996",442545
"NH3","PL","1996",304392
"NH3","GB","1996",333871
"NMVOC","DE","1996",1960036
"NMVOC","FR","1996",2024557
"NMVOC","IT","1996",1913398
"NMVOC","PL","1996",688389
"NMVOC","GB","1996",2130796
"NOX","DE","1996",2095292
"NOX","FR","1996",1728957
"NOX","IT","1996",1844711
"NOX","PL","1996",1100752
"NOX","GB","1996",2212549
"PM10","DE","1996",302063
"PM10","FR","1996",519979
"PM10","IT","1996",220282
"PM10","PL","1996",380781
"PM10","GB","1996",218931
"PM2_5","DE","1996",181029
"PM2_5","FR","1996",405966
"PM2_5","IT","1996",178964
"PM2_5","PL","1996",205117
"PM2_5","GB","1996",151592
"SOX","DE","1996",1441516
"SOX","FR","1996",945677
"SOX","IT","1996",1216940
"SOX","PL","1996",2253641
"SOX","GB","1996",2011602
"NH3","DE","1995",678375
"NH3","FR","1995",716576
"NH3","IT","1995",451680
"NH3","PL","1995",316467
"NH3","GB","1995",330646
"NMVOC","DE","1995",2027685
"NMVOC","FR","1995",2062380
"NMVOC","IT","1995",1974396
"NMVOC","PL","1995",679634
"NMVOC","GB","1995",2202512
"NOX","DE","1995",2167093
"NOX","FR","1995",1745334
"NOX","IT","1995",1920049
"NOX","PL","1995",1063097
"NOX","GB","1995",2316059
"PM10","DE","1995",313244
"PM10","FR","1995",505902
"PM10","IT","1995",233850
"PM10","PL","1995",365481
"PM10","GB","1995",222353
"PM2_5","DE","1995",190492
"PM2_5","FR","1995",393712
"PM2_5","IT","1995",189771
"PM2_5","PL","1995",196997
"PM2_5","GB","1995",153259
"SOX","DE","1995",1704109
"SOX","FR","1995",965863
"SOX","IT","1995",1326781
"SOX","PL","1995",2255191
"SOX","GB","1995",2365586
"NH3","DE","1994",663248
"NH3","FR","1994",712502
"NH3","IT","1994",457532
"NH3","PL","1994",384000
"NH3","GB","1994",338323
"NMVOC","DE","1994",2015447
"NMVOC","FR","1994",2138839
"NMVOC","IT","1994",2017255
"NMVOC","PL","1994",819000
"NMVOC","GB","1994",2381293
"NOX","DE","1994",2199554
"NOX","FR","1994",1790782
"NOX","IT","1994",1948966
"NOX","PL","1994",1105000
"NOX","GB","1994",2432227
"PM10","DE","1994",312488
"PM10","FR","1994",504312
"PM10","IT","1994",236361
"PM10","PL","1994",396345
"PM10","GB","1994",246948
"PM2_5","DE","1994",194813
"PM2_5","FR","1994",391427
"PM2_5","IT","1994",191552
"PM2_5","PL","1994",211449
"PM2_5","GB","1994",171322
"SOX","DE","1994",2376770
"SOX","FR","1994",1030504
"SOX","IT","1994",1394980
"SOX","PL","1994",2605000
"SOX","GB","1994",2657609
"NH3","DE","1993",693433
"NH3","FR","1993",716406
"NH3","IT","1993",467163
"NH3","PL","1993",382000
"NH3","GB","1993",335330
"NMVOC","DE","1993",2520264
"NMVOC","FR","1993",2314692
"NMVOC","IT","1993",2063521
"NMVOC","PL","1993",756000
"NMVOC","GB","1993",2464064
"NOX","DE","1993",2386925
"NOX","FR","1993",1838383
"NOX","IT","1993",2047819
"NOX","PL","1993",1120000
"NOX","GB","1993",2542558
"PM10","DE","1993",317448
"PM10","FR","1993",537646
"PM10","IT","1993",239214
"PM10","PL","1993",414893
"PM10","GB","1993",256667
"PM2_5","DE","1993",200373
"PM2_5","FR","1993",425091
"PM2_5","IT","1993",194402
"PM2_5","PL","1993",219653
"PM2_5","GB","1993",181186
"SOX","DE","1993",2846013
"SOX","FR","1993",1068528
"SOX","IT","1993",1479232
"SOX","PL","1993",2725000
"SOX","GB","1993",3118337
"NH3","DE","1992",694175
"NH3","FR","1992",720576
"NH3","IT","1992",461562
"NH3","PL","1992",447000
"NH3","GB","1992",339483
"NMVOC","DE","1992",2672358
"NMVOC","FR","1992",2431515
"NMVOC","IT","1992",2063906
"NMVOC","PL","1992",805000
"NMVOC","GB","1992",2581844
"NOX","DE","1992",2492818
"NOX","FR","1992",1940141
"NOX","IT","1992",2142860
"NOX","PL","1992",1130000
"NOX","GB","1992",2709428
"PM10","DE","1992",318520
"PM10","FR","1992",561723
"PM10","IT","1992",238732
"PM10","PL","1992",425624
"PM10","GB","1992",266028
"PM2_5","DE","1992",205247
"PM2_5","FR","1992",440090
"PM2_5","IT","1992",192811
"PM2_5","PL","1992",224856
"PM2_5","GB","1992",185294
"SOX","DE","1992",3196182
"SOX","FR","1992",1241804
"SOX","IT","1992",1583656
"SOX","PL","1992",2820000
"SOX","GB","1992",3457085
"NH3","DE","1991",708654
"NH3","FR","1991",735610
"NH3","IT","1991",475916
"NH3","PL","1991",450000
"NH3","GB","1991",351460
"NMVOC","DE","1991",2907007
"NMVOC","FR","1991",2505316
"NMVOC","IT","1991",2011752
"NMVOC","PL","1991",833000
"NMVOC","GB","1991",2657765
"NOX","DE","1991",2639476
"NOX","FR","1991",1947183
"NOX","IT","1991",2109822
"NOX","PL","1991",1205000
"NOX","GB","1991",2771804
"PM10","DE","1991",321441
"PM10","FR","1991",585552
"PM10","IT","1991",243578
"PM10","PL","1991",439042
"PM10","GB","1991",274201
"PM2_5","DE","1991",211124
"PM2_5","FR","1991",460174
"PM2_5","IT","1991",196289
"PM2_5","PL","1991",230204
"PM2_5","GB","1991",190137
"SOX","DE","1991",3922830
"SOX","FR","1991",1380480
"SOX","IT","1991",1683463
"SOX","PL","1991",2995000
"SOX","GB","1991",3525467
"NH3","DE","1990",792328
"NH3","FR","1990",739380
"NH3","IT","1990",471276
"NH3","PL","1990",508000
"NH3","GB","1990",344025
"NMVOC","DE","1990",3392424
"NMVOC","FR","1990",2469094
"NMVOC","IT","1990",1935963
"NMVOC","PL","1990",831000
"NMVOC","GB","1990",2721092
"NOX","DE","1990",2882281
"NOX","FR","1990",1911211
"NOX","IT","1990",2047255
"NOX","PL","1990",1280000
"NOX","GB","1990",2880397
"PM10","DE","1990",323836
"PM10","FR","1990",538832
"PM10","IT","1990",234610
"PM10","PL","1990",460351
"PM10","GB","1990",274512
"PM2_5","DE","1990",215909
"PM2_5","FR","1990",413488
"PM2_5","IT","1990",186091
"PM2_5","PL","1990",238264
"PM2_5","GB","1990",188762
"SOX","DE","1990",5307272
"SOX","FR","1990",1288188
"SOX","IT","1990",1799997
"SOX","PL","1990",3210000
"SOX","GB","1990",3681493
